Descripcion,Marca,Compra Total,Ingreso Total,Pendiente,Estado,Fecha,Año,Marca_Unificada,Ingreso_Std
Bolsa rafia 40 x 60,AGROMARC,3000.0,3000.0,0.0,FULL,2026-01-29,2026,AGROMARC,4.542434143746269
Soga trenzada 10 mm x metro,NAVEGANTE,500.0,500.0,0.0,FULL,2026-01-29,2026,NAVEGANTE,0.3788194355831486
"Morsa de banco con yunque 10"" barbero",BARBERO,4.0,4.0,0.0,FULL,2026-01-29,2026,BARBERO,-0.4472417225164145
Escuadra con sombrero bremen® 400x250mm din 875/1,BREMEN,10.0,10.0,0.0,FULL,2026-01-29,2026,BREMEN,-0.43724904721682295
Escuadra con sombrero bremen® 500x330mm din 875/1,BREMEN,10.0,10.0,0.0,FULL,2026-01-29,2026,BREMEN,-0.43724904721682295
Cinta metrica evel premiumblok - automatica 8 mts,EVEL,30.0,30.0,0.0,FULL,2026-01-29,2026,EVEL,-0.40394012955151803
Cinta metrica evel premiumblok - automatica 5 mts,EVEL,30.0,30.0,0.0,FULL,2026-01-29,2026,EVEL,-0.40394012955151803
Lapiz carpintero gardex carpintero,FERRETERIA,200.0,200.0,0.0,FULL,2026-01-29,2026,FERRETERIA,-0.12081432939642582
"Cabo madera pala 0,70 emp. plastica",FERRETERIA,40.0,40.0,0.0,FULL,2026-01-29,2026,FERRETERIA,-0.38728567071886555
"Abrazadera perfecto 7mm 8-12 (1/2"")",FERRETERIA,100.0,100.0,0.0,FULL,2026-01-29,2026,FERRETERIA,-0.28735891772295064
Mecha sds plus 5x -  10x250x310,BOSCH,10.0,4.0,6.0,PARCIAL,2026-01-19,2026,BOSCH,-0.4472417225164145
"Disco ""fenobond"" 178x22   36",DOBLE A - LIJ,2000.0,1890.0,110.0,PARCIAL,2026-01-19,2026,DOBLE A,2.6937892133218435
Martillo de carpintero mango fibra de vidrio 16oz,IRIMO,30.0,30.0,0.0,FULL,2026-01-19,2026,IRIMO,-0.40394012955151803
Detergente cristalino zap 5 l,SINA,550.0,547.0,3.0,PARCIAL,2026-01-19,2026,SINA,0.4570953920966153
Glade aerosol 360cc harmony,JHONSON,200.0,200.0,0.0,FULL,2026-01-19,2026,JHONSON,-0.12081432939642582
Glade aerosol 360cc flores tropical y coco,JHONSON,200.0,200.0,0.0,FULL,2026-01-19,2026,JHONSON,-0.12081432939642582
Bobina papel hoja simple 240 m x 20 cm    x rollo,SINA,2000.0,2000.0,0.0,FULL,2026-01-19,2026,SINA,2.8769882604810206
"Lima bremen® media caña  bastarda  12"" c/cabo y blister",BREMEN,15.0,15.0,0.0,FULL,2026-01-19,2026,BREMEN,-0.4289218178004967
Lampazo mopa algodon pabilo retorcido,SINA,50.0,50.0,0.0,FULL,2026-01-19,2026,SINA,-0.37063121188621306
Pincel profesional  (# 1500) s 1 nº 10,MATEZZ,500.0,500.0,0.0,FULL,2026-01-19,2026,MATEZZ,0.3788194355831486
Pincel elefante serie 1000 nº 15,EL GALGO,500.0,0.0,500.0,INCOMPLETO,2026-01-19,2026,EL GALGO,-0.45390350604947544
Cepillo de acero mango curvo 4x19,CALABRO,30.0,0.0,30.0,INCOMPLETO,2026-01-19,2026,CALABRO,-0.45390350604947544
Flap plano-fibra   180mm-g  40,BULONFER,300.0,300.0,0.0,FULL,2026-01-19,2026,BULONFER,0.045730258930099
Arnes a cremallera para careta y facial,FRAVIDA,20.0,0.0,20.0,INCOMPLETO,2026-01-19,2026,FRAVIDA,-0.45390350604947544
Fischer - mecha acero rapido  hss 338 red.9.5 f3 16.0 mm,FISCHER,30.0,0.0,30.0,INCOMPLETO,2026-01-19,2026,FISCHER,-0.45390350604947544
Mecha sds plus 5x -  12x150x210,BOSCH,10.0,0.0,10.0,INCOMPLETO,2026-01-19,2026,BOSCH,-0.45390350604947544
"Nivel biassoni torpedo 9"" b/magnetica",BIASSONI,20.0,3.0,17.0,PARCIAL,2026-01-19,2026,BIASSONI,-0.4489071683996797
Ventosa goma negra bufalo ven-01,SHADA,100.0,0.0,100.0,INCOMPLETO,2026-01-19,2026,SHADA,-0.45390350604947544
Mecha sds plus-1    6 x210,BOSCH,10.0,10.0,0.0,FULL,2026-01-19,2026,BOSCH,-0.43724904721682295
Wd-40® 311g,CAMPI,48.0,48.0,0.0,FULL,2026-01-19,2026,CAMPI,-0.3739621036527435
Escoba bicolor sina 7.5 cm base plastica,SINA,100.0,100.0,0.0,FULL,2026-01-19,2026,SINA,-0.28735891772295064
Pulverizador sina splash 1 lt aprox anatomico -  2101000002,GEN21,200.0,200.0,0.0,FULL,2026-01-19,2026,GEN21,-0.12081432939642582
Porta bobina industrial de pie,MAKROCORP,30.0,30.0,0.0,FULL,2026-01-19,2026,MAKROCORP,-0.40394012955151803
Maza forjada - 2000 grs - con cabo de fibra,BIASSONI,15.0,15.0,0.0,FULL,2026-01-19,2026,BIASSONI,-0.4289218178004967
Cabo escoba 1.20m palo con rosca pino madera - economico,SINA,200.0,200.0,0.0,FULL,2026-01-19,2026,SINA,-0.12081432939642582
Teflon alta densidad  3/4x10,LATYN - PLAS,200.0,200.0,0.0,FULL,2026-01-19,2026,LATYN - PLAS,-0.12081432939642582
Hoja sierra sin-par acero rap. 32 d,FERRETERIA,100.0,100.0,0.0,FULL,2026-01-19,2026,FERRETERIA,-0.28735891772295064
Trapo stokinete 100% algodon por 10kg,TRAPOSLIMP,60.0,60.0,0.0,FULL,2026-01-19,2026,TRAPOSLIMP,-0.3539767530535606
Polietileno negro premium 4 x 50 mt  micr 200 negro,AGROREDES,2000.0,2000.0,0.0,FULL,2026-01-19,2026,AGROREDES,2.8769882604810206
Cinta metrica evel premiumblok - automatica 5 mts,EVEL,50.0,50.0,0.0,FULL,2026-01-19,2026,EVEL,-0.37063121188621306
Cinta metrica evel premiumblok - automatica 10 mts,EVEL,50.0,50.0,0.0,FULL,2026-01-19,2026,EVEL,-0.37063121188621306
Cuchilla metalica retractil bremen® blist,BREMEN,20.0,20.0,0.0,FULL,2026-01-19,2026,BREMEN,-0.42059458838417046
"Disco de corte cd t42  master acero 115x3,0x22.2",DOBLE A - DIS,1000.0,1000.0,0.0,FULL,2026-01-19,2026,DOBLE A - DIS,1.2115423772157727
"Disco corte plano bna 12 177,8x1,6x22,2",NORTON,1500.0,1500.0,0.0,FULL,2026-01-19,2026,NORTON,2.044265318848397
Alambre lincoln merits-6 / 0.90 mm / 15.0-bpn-kg,LINCOLN CON,10.0,10.0,0.0,FULL,2026-01-19,2026,LINCOLN CON,-0.43724904721682295
Cinta aisladora doble a verde 18 x 10,DOBLE A - CIN,300.0,300.0,0.0,FULL,2026-01-19,2026,DOBLE A - CIN,0.045730258930099
Mandril promoline 13mm+vastago+tornillo,BOSCH,10.0,10.0,0.0,FULL,2026-01-19,2026,BOSCH,-0.43724904721682295
Mecha sds plus-1    8 x210,BOSCH,10.0,10.0,0.0,FULL,2026-01-19,2026,BOSCH,-0.43724904721682295
"Tenaza armador a3 - 300 mm (12"") - m/c - con dipping",BIASSONI,30.0,30.0,0.0,FULL,2026-01-19,2026,BIASSONI,-0.40394012955151803
Cuchara albañil biassoni  n° 8,BIASSONI,30.0,30.0,0.0,FULL,2026-01-19,2026,BIASSONI,-0.40394012955151803
"Llaves ajustable de tuerca central de 34 mm fosfatado 12"" - 300 mm",BAHCO,15.0,15.0,0.0,FULL,2026-01-19,2026,BAHCO,-0.4289218178004967
Balde voss 2000 albañil plastico negro,FERRETERIA,30.0,30.0,0.0,FULL,2026-01-19,2026,FERRETERIA,-0.40394012955151803
Glade aerosol 360cc potpurri,JHONSON,200.0,200.0,0.0,FULL,2026-01-19,2026,JHONSON,-0.12081432939642582
Blem aero madera original 360cc,JHONSON,600.0,600.0,0.0,FULL,2026-01-19,2026,JHONSON,0.5453640239096734
Franela sina 100% algodon 40*50,SINA,500.0,500.0,0.0,FULL,2026-01-19,2026,SINA,0.3788194355831486
Detergente concentrado 40% dx 111 - multiuso - 5l,SINA,50.0,50.0,0.0,FULL,2026-01-19,2026,SINA,-0.37063121188621306
Rodillo arte foam nº 16,EL GALGO,500.0,500.0,0.0,FULL,2026-01-19,2026,EL GALGO,0.3788194355831486
Cepillo circular trenzado 150 c6 eje 22 alamb 0.5,FPL,500.0,500.0,0.0,FULL,2026-01-19,2026,FPL,0.3788194355831486
Mecha / broca  a. rapido  a114 4.00mm,DORMER,30.0,30.0,0.0,FULL,2026-01-19,2026,DORMER,-0.40394012955151803
Mecha / broca  a. rapido  a114 5.00mm,DORMER,30.0,30.0,0.0,FULL,2026-01-19,2026,DORMER,-0.40394012955151803
Mecha / broca  a. rapido  a114 6.00mm,DORMER,30.0,30.0,0.0,FULL,2026-01-19,2026,DORMER,-0.40394012955151803
Mecha / broca  a. rapido  a114 8.00mm,DORMER,30.0,30.0,0.0,FULL,2026-01-19,2026,DORMER,-0.40394012955151803
Mecha / broca  a. rapido  a114 10.00mm,DORMER,30.0,30.0,0.0,FULL,2026-01-19,2026,DORMER,-0.40394012955151803
Mecha / broca  a. rapido  a114 12.00mm,DORMER,30.0,30.0,0.0,FULL,2026-01-19,2026,DORMER,-0.40394012955151803
Cinta transparente c292 48 x 40,DOBLE A - CIN,600.0,600.0,0.0,FULL,2026-01-19,2026,DOBLE A - CIN,0.5453640239096734
Disco flap ultra zir plastico ang 115x22 #40,DOBLE A - DIS,300.0,300.0,0.0,FULL,2026-01-19,2026,DOBLE A - DIS,0.045730258930099
Cinta 903 48 x 40,DOBLE A - CIN,600.0,600.0,0.0,FULL,2026-01-19,2026,DOBLE A - CIN,0.5453640239096734
Tubo de contacto m8x30mm diam 0.9,FERROLAN,20.0,20.0,0.0,FULL,2026-01-19,2026,FERROLAN,-0.42059458838417046
Cinta aisladora doble a negro 18 x 20,DOBLE A - CIN,500.0,500.0,0.0,FULL,2026-01-19,2026,DOBLE A - CIN,0.3788194355831486
Tapa de bidones standard,PRONEXT,30.0,10.0,20.0,PARCIAL,2025-12-02,2025,PRONEXT,-0.43724904721682295
Tapa amarilla standard antiventeo,PRONEXT,30.0,10.0,20.0,PARCIAL,2025-12-02,2025,PRONEXT,-0.43724904721682295
"Guia espiral 1,20 mm x 4,50 m especial",SUMIG,20.0,6.0,14.0,PARCIAL,2025-12-02,2025,SUMIG,-0.44391083074988397
Macho caja verde npt 3/4x14,BULONFER,5.0,2.0,3.0,PARCIAL,2025-12-02,2025,BULONFER,-0.450572614282945
Correa hormigonera a-33,DEPER,20.0,20.0,0.0,FULL,2025-12-02,2025,DEPER,-0.42059458838417046
Macho a/rap.npt 1/2x14,BULONFER,5.0,5.0,0.0,FULL,2025-12-02,2025,BULONFER,-0.4455762766331492
Macho a/rap.npt 3/4 x 14,BULONFER,5.0,5.0,0.0,FULL,2025-12-02,2025,BULONFER,-0.4455762766331492
Oring -004aro nitrilo pico antiventeo,PRONEXT,30.0,30.0,0.0,FULL,2025-12-02,2025,PRONEXT,-0.40394012955151803
Macho caja verde npt 1/2x14,BULONFER,5.0,4.0,1.0,PARCIAL,2025-12-02,2025,BULONFER,-0.4472417225164145
Rodillo arte foam nº 11,EL GALGO,1000.0,1000.0,0.0,FULL,2025-12-02,2025,EL GALGO,1.2115423772157727
Aceitex limpia contactos 440cc,FERRETERIA,6.0,6.0,0.0,FULL,2025-12-02,2025,FERRETERIA,-0.44391083074988397
"Tubo de contacto m-8 1,2 l 30mm",BAW,400.0,400.0,0.0,FULL,2025-12-02,2025,BAW,0.21227484725662382
Varilla er70s-3 merit jg-51 x caja de 5 kg,LINCOLN CON,300.0,300.0,0.0,FULL,2025-12-02,2025,LINCOLN CON,0.045730258930099
Pico bidones standard,PRONEXT,30.0,30.0,0.0,FULL,2025-12-02,2025,PRONEXT,-0.40394012955151803
Cinta metrica 5m x 25mm,IRIMO,36.0,36.0,0.0,FULL,2025-12-02,2025,IRIMO,-0.3939474542519265
Quita sarro y oxido gel 1l,MERCLIN,6.0,6.0,0.0,FULL,2025-12-02,2025,MERCLIN,-0.44391083074988397
Mr musculo crema floral,JHONSON,6.0,6.0,0.0,FULL,2025-12-02,2025,JHONSON,-0.44391083074988397
Mr musculo crema citrus,JHONSON,6.0,6.0,0.0,FULL,2025-12-02,2025,JHONSON,-0.44391083074988397
Mr musculo ext power gatillo 500 cc,JHONSON,6.0,6.0,0.0,FULL,2025-12-02,2025,JHONSON,-0.44391083074988397
Lapices de temperatura para 120°c,TEMPILSTIK,36.0,36.0,0.0,FULL,2025-12-02,2025,TEMPILSTIK,-0.3939474542519265
Cinta aisladora doble a negro 18 x 20,DOBLE A - CIN,300.0,300.0,0.0,FULL,2025-12-02,2025,DOBLE A - CIN,0.045730258930099
Cinta aisladora doble a verde 18 x 10,DOBLE A - CIN,200.0,200.0,0.0,FULL,2025-12-02,2025,DOBLE A - CIN,-0.12081432939642582
Busa wp/17/18/26 ø 12.7mm (1/2 # 8,FERROLAN,200.0,200.0,0.0,FULL,2025-12-02,2025,FERROLAN,-0.12081432939642582
"Broca escalonada hss 13 escalones 6-30mm (largo completo 93,5mm)",BOSCH,1.0,1.0,0.0,FULL,2025-12-02,2025,BOSCH,-0.4522380601662102
Mandril promoline 13mm+vastago+tornillo,BOSCH,10.0,10.0,0.0,FULL,2025-12-02,2025,BOSCH,-0.43724904721682295
Cuchilla metalica retractil bremen® blist,BREMEN,10.0,10.0,0.0,FULL,2025-12-02,2025,BREMEN,-0.43724904721682295
Macho caja roja ma 6x1.00,BULONFER,5.0,5.0,0.0,FULL,2025-12-02,2025,BULONFER,-0.4455762766331492
Macho caja roja ma 8x1.25,BULONFER,5.0,5.0,0.0,FULL,2025-12-02,2025,BULONFER,-0.4455762766331492
"Fischer - mecha acero rapido  hss din 338 f3  1,0 mm",FISCHER,10.0,10.0,0.0,FULL,2025-12-02,2025,FISCHER,-0.43724904721682295
"Fischer - mecha acero rapido  hss din 338 f3  3,0 mm",FISCHER,10.0,10.0,0.0,FULL,2025-12-02,2025,FISCHER,-0.43724904721682295
"Fischer - mecha acero rapido  hss din 338 f3  4,0 mm",FISCHER,10.0,10.0,0.0,FULL,2025-12-02,2025,FISCHER,-0.43724904721682295
"Fischer - mecha acero rapido  hss din 338 f3  6,0 mm",FISCHER,10.0,10.0,0.0,FULL,2025-12-02,2025,FISCHER,-0.43724904721682295
"Fischer - mecha acero rapido  hss din 338 f3  8,0 mm",FISCHER,10.0,10.0,0.0,FULL,2025-12-02,2025,FISCHER,-0.43724904721682295
"Fischer - mecha acero rapido  hss din 338 f3  10,0 mm",FISCHER,10.0,10.0,0.0,FULL,2025-12-02,2025,FISCHER,-0.43724904721682295
Fischer - mecha acero rapido  hss 338 red.9.5 f3 13.0 mm,FISCHER,10.0,10.0,0.0,FULL,2025-12-02,2025,FISCHER,-0.43724904721682295
Film stretch 0.5x350 virgen,AGROREDES,40.0,40.0,0.0,FULL,2025-12-02,2025,AGROREDES,-0.38728567071886555
Rodillo arte foam nº 07,EL GALGO,1000.0,1000.0,0.0,FULL,2025-12-02,2025,EL GALGO,1.2115423772157727
Rodillo arte foam nº 16,EL GALGO,1000.0,1030.0,-30.0,FULL,2025-12-02,2025,EL GALGO,1.26150575371373
Rod.galgo dorado nº 22,EL GALGO,30.0,30.0,0.0,FULL,2025-12-02,2025,EL GALGO,-0.40394012955151803
Aerosol uso general negro mate 250 gr,TEKBOND,72.0,72.0,0.0,FULL,2025-12-02,2025,TEKBOND,-0.3339914024543776
Aerosol smart paint aa rojo  350 ml/250g,DOBLE A - AE,72.0,72.0,0.0,FULL,2025-12-02,2025,DOBLE A,-0.3339914024543776
Teflon alta densidad  1/2x40,LATYN - PLAS,100.0,100.0,0.0,FULL,2025-12-02,2025,LATYN - PLAS,-0.28735891772295064
"Disco ""fenobond"" 178x22   36",DOBLE A - LIJ,1000.0,1000.0,0.0,FULL,2025-12-02,2025,DOBLE A,1.2115423772157727
Cepillo circular trenzado 150 c6 eje 22 alamb 0.5,FPL,500.0,500.0,0.0,FULL,2025-12-02,2025,FPL,0.3788194355831486
"Disco corte plano linea quantum 115,3x1,6x22,2",NORTON STD,1000.0,1000.0,0.0,FULL,2025-12-02,2025,NORTON STD,1.2115423772157727
Flap plano-fibra   115mm-g  40,BULONFER,500.0,500.0,0.0,FULL,2025-12-02,2025,BULONFER,0.3788194355831486
Disco flap ox zirconio r822 norzon fepa 40 180 x 22,NORTON STD,500.0,500.0,0.0,FULL,2025-12-02,2025,NORTON STD,0.3788194355831486
"Electrodo conarco 18 3,25 mm x kg",CONARCO,5000.0,5000.0,0.0,FULL,2025-12-02,2025,CONARCO,7.873325910276765
Discos de sierra circular - 184mm 7 1/4'' - 40 dientes atb - optiline,BOSCH,10.0,10.0,0.0,FULL,2025-12-02,2025,BOSCH,-0.43724904721682295
"Disco de corte cd t42  master acero 115x3,0x22.2",DOBLE A - DIS,1000.0,1000.0,0.0,FULL,2025-12-02,2025,DOBLE A - DIS,1.2115423772157727
Cinta metrica evel premiumblok - automatica 10 mts,EVEL,12.0,12.0,0.0,FULL,2025-12-02,2025,EVEL,-0.4339181554502925
Teflon alta densidad  1x10,LATYN - PLAS,100.0,100.0,0.0,FULL,2025-12-02,2025,LATYN - PLAS,-0.28735891772295064
Polietileno negro premium 3 x 50 mt  micr 200 negro,AGROREDES,1000.0,1000.0,0.0,FULL,2025-12-02,2025,AGROREDES,1.2115423772157727
"Disco corte plano linea quantum 177,8x1,6x22,2",NORTON STD,1200.0,1200.0,0.0,FULL,2025-12-02,2025,NORTON STD,1.5446315538688222
"Disco de corte t41  master acero 180x1,6x22,2",DOBLE A - DIS,1800.0,1800.0,0.0,FULL,2025-12-02,2025,DOBLE A - DIS,2.5438990838279714
Macho caja roja ma 10 x 1.50,BULONFER,5.0,5.0,0.0,FULL,2025-12-02,2025,BULONFER,-0.4455762766331492
,,0.0,0.0,0.0,,2025-12-02,2025,,-0.45390350604947544
Baterias 9 v,SICA,50.0,50.0,0.0,FULL,2025-11-08,2025,SICA,-0.37063121188621306
Cristal incoloro rectan.105x50,BULONFER,2000.0,2000.0,0.0,FULL,2025-11-08,2025,BULONFER,2.8769882604810206
Punta aletada miniflex  50 x 30  #40,CORMET,300.0,300.0,0.0,FULL,2025-11-08,2025,CORMET,0.045730258930099
"Llave biassoni   ajustable - 10""",BIASSONI,20.0,20.0,0.0,FULL,2025-11-08,2025,BIASSONI,-0.42059458838417046
Pilas aa -  blister de 4 unidades,SICA,100.0,54.0,46.0,PARCIAL,2025-11-08,2025,SICA,-0.36396942835315205
Disco centro deprimido 114x7,TYROLIT,500.0,500.0,0.0,FULL,2025-11-08,2025,TYROLIT,0.3788194355831486
Limpiador pisos marina zap 5l  -  desodorante,ZAP,300.0,300.0,0.0,FULL,2025-11-08,2025,ZAP,0.045730258930099
Limpiador pisos pino zap 5 t  -  desodorante,ZAP,300.0,300.0,0.0,FULL,2025-11-08,2025,ZAP,0.045730258930099
Cinta 903 48 x 40,DOBLE A - CIN,800.0,800.0,0.0,FULL,2025-11-08,2025,DOBLE A - CIN,0.878453200562723
"Electrodo kiswell  7018 -  2,60 mm   x kg",KISWELL,500.0,500.0,0.0,FULL,2025-11-08,2025,KISWELL,0.3788194355831486
"Electrodo kiswell  7018 -  3,20 mm  x kg",KISWELL,2000.0,2000.0,0.0,FULL,2025-11-08,2025,KISWELL,2.8769882604810206
"Alambre tubular lincoln e71t-1c en 1,2m (x rollo de 15kg)",LINCOLN EQU,50.0,50.0,0.0,FULL,2025-11-08,2025,LINCOLN,-0.37063121188621306
"Electrodo conarco 18 2,50 mm x kg",CONARCO,1500.0,1500.0,0.0,FULL,2025-11-08,2025,CONARCO,2.044265318848397
Varilla er70s-3 merit jg-51 x caja de 5 kg,LINCOLN CON,200.0,200.0,0.0,FULL,2025-11-08,2025,LINCOLN CON,-0.12081432939642582
Bolsas 90 x120 cm verdes 80 micrones,FASTER BAGS,1000.0,1000.0,0.0,FULL,2025-11-08,2025,FASTER BAGS,1.2115423772157727
Bolsas 90 x120 cm rojas 80 micrones,FASTER BAGS,1000.0,1000.0,0.0,FULL,2025-11-08,2025,FASTER BAGS,1.2115423772157727
Bolsas 90 x120 cm amarillas 80 micrones,FASTER BAGS,1000.0,1000.0,0.0,FULL,2025-11-08,2025,FASTER BAGS,1.2115423772157727
Film stretch 0.5x350 virgen,AGROREDES,30.0,30.0,0.0,FULL,2025-11-08,2025,AGROREDES,-0.40394012955151803
Teflon alta densidad  1x10,LATYN - PLAS,100.0,100.0,0.0,FULL,2025-11-08,2025,LATYN - PLAS,-0.28735891772295064
Teflon alta densidad  1/2x40,LATYN - PLAS,100.0,100.0,0.0,FULL,2025-11-08,2025,LATYN - PLAS,-0.28735891772295064
Wd-40® 155g,CAMPI,36.0,36.0,0.0,FULL,2025-11-08,2025,CAMPI,-0.3939474542519265
Candado sekur 40 estandard,SEKUR,30.0,30.0,0.0,FULL,2025-11-08,2025,SEKUR,-0.40394012955151803
Candado sekur 31 estandard,SEKUR,50.0,50.0,0.0,FULL,2025-11-08,2025,SEKUR,-0.37063121188621306
Pinza porta elect. helictor 600,HELICTOR,40.0,40.0,0.0,FULL,2025-11-08,2025,HELICTOR,-0.38728567071886555
"Disco corte plano linea quantum 115,3x1,6x22,2",NORTON STD,1500.0,1500.0,0.0,FULL,2025-11-08,2025,NORTON STD,2.044265318848397
Pinza porta masa helictor 600,HELICTOR,40.0,40.0,0.0,FULL,2025-11-08,2025,HELICTOR,-0.38728567071886555
"Disco de corte cd t42  master acero 115x3,0x22.2",DOBLE A - DIS,500.0,500.0,0.0,FULL,2025-11-08,2025,DOBLE A - DIS,0.3788194355831486
Disco plano tyrolit extra secur  178x1.6,TYROLIT,1000.0,1000.0,0.0,FULL,2025-11-08,2025,TYROLIT,1.2115423772157727
"Disco corte plano bna 12 177,8x1,6x22,2",NORTON,1000.0,1000.0,0.0,FULL,2025-11-08,2025,NORTON,1.2115423772157727
"Disco de corte cd t42  master acero 180x3,0x22,2",DOBLE A - DIS,300.0,300.0,0.0,FULL,2025-11-08,2025,DOBLE A - DIS,0.045730258930099
Disco flap ox zirconio r822 norzon fepa 40 180 x 22,NORTON STD,300.0,300.0,0.0,FULL,2025-11-08,2025,NORTON STD,0.045730258930099
Disco flap ox zirconio r822 norzon fepa 40 115 x 22,TEKBOND,300.0,300.0,0.0,FULL,2025-11-08,2025,TEKBOND,0.045730258930099
Punta aletada miniflex  70 x 30  #40,CORMET,300.0,300.0,0.0,FULL,2025-11-08,2025,CORMET,0.045730258930099
"Hoja tela esmeril ""doble a"" 60",DOBLE A - LIJ,300.0,300.0,0.0,FULL,2025-11-08,2025,DOBLE A,0.045730258930099
"Disco ""fenobond"" 178x22   36",DOBLE A - LIJ,500.0,500.0,0.0,FULL,2025-11-08,2025,DOBLE A,0.3788194355831486
Elect. tung. thorio ø 2.4mm x 175mm,FERROLAN,1000.0,1000.0,0.0,FULL,2025-11-08,2025,FERROLAN,1.2115423772157727
Busa wp/17/18/26 ø 12.7mm (1/2 # 8,FERROLAN,300.0,300.0,0.0,FULL,2025-11-08,2025,FERROLAN,0.045730258930099
Busa wp17/18/26 ø 11mm (7/16 ) # 7,FERROLAN,300.0,300.0,0.0,FULL,2025-11-08,2025,FERROLAN,0.045730258930099
Busa wp17/18/26 ø 10mm (3/8 ) # 6,FERROLAN,300.0,300.0,0.0,FULL,2025-11-08,2025,FERROLAN,0.045730258930099
Cuerpo de torcha 200a,FERROLAN,50.0,50.0,0.0,FULL,2025-11-08,2025,FERROLAN,-0.37063121188621306
Bolsa rafia 40 x 60,AGROMARC,900.0,900.0,0.0,FULL,2025-11-08,2025,AGROMARC,1.0449977888892479
Polietileno negro premium 3 x 50 mt  micr 200 negro,AGROREDES,2000.0,2000.0,0.0,FULL,2025-11-08,2025,AGROREDES,2.8769882604810206
"Nivel de aluminio - i-bean - 18""",BIASSONI,20.0,20.0,0.0,FULL,2025-11-08,2025,BIASSONI,-0.42059458838417046
"Nivel de aluminio - i-bean - 12""",BIASSONI,20.0,20.0,0.0,FULL,2025-11-08,2025,BIASSONI,-0.42059458838417046
Cinta metrica 5m x 25mm,IRIMO,20.0,20.0,0.0,FULL,2025-11-08,2025,IRIMO,-0.42059458838417046
Nivel biassoni -i-bean- 18'',BIASSONI,20.0,20.0,0.0,FULL,2025-11-08,2025,BIASSONI,-0.42059458838417046
"Llave biassoni   ajustable - 12""",BIASSONI,20.0,20.0,0.0,FULL,2025-11-08,2025,BIASSONI,-0.42059458838417046
Destornillador mango goma  pl (-) 6.5 (ø6x150mm)   bremen®,BREMEN,15.0,15.0,0.0,FULL,2025-11-08,2025,BREMEN,-0.4289218178004967
Cepillo de acero mango curvo 4x19,CALABRO,30.0,30.0,0.0,FULL,2025-11-08,2025,CALABRO,-0.40394012955151803
